а	conj	7283.0
абсолютно	adv	115.7
абсолютный	a	51.8
авария	s	42.7
август	s	145.9
авиакомпания	s	23.6
авиационный	a	49.2
авиация	s	60.0
автобус	s	62.0
автомат	s	43.0
автоматически	adv	23.6
автоматический	a	28.7
автомобиль	s	276.8
автомобильный	a	50.2
автономный	a	27.1
автор	s	366.9
авторитет	s	50.9
авторский	a	43.7
агент	s	39.7
агентство	s	81.7
агрегат	s	19.9
агрессивный	a	23.6
агрессия	s	20.7
адвокат	s	61.7
административный	a	96.6
администрация	s	185.8
адрес	s	102.2
аж	part	21.6
академик	s	57.0
академический	a	28.8
академия	s	102.8
аккуратно	adv	21.6
акт	s	92.3
актер	s	231.6
актерский	a	48.0
актив	s	50.9
активно	adv	85.5
активность	s	46.5
активный	a	116.4
бежать	v	88.5
беженец	s	25.7
без	pr	1024.5
безопасность	s	180.5
безопасный	a	25.6
безумный	a	20.5
безусловно	adv	67.6
белорусский	a	24.6
белый	a	285.5
белье	s	25.4
бензин	s	28.0
берег	s	126.8
беречь	v	19.8
беседа	s	110.1
беседовать	v	39.9
бесконечно	adv	22.7
бесконечный	a	48.8
бесплатно	adv	32.6
бесплатный	a	41.1
беспокоить	v	21.6
бессмысленный	a	27.6
библиотека	s	74.1
бизнес	s	256.7
бизнесмен	s	51.7
билет	s	86.6
биография	s	40.7
биржа	s	21.6
битва	s	28.8
бить	v	78.3
биться	v	25.6
благо	s	48.0
благодарить	v	28.7
благодарность	s	34.9
благодарный	a	27.9
благодаря	pr	135.9
благополучие	s	24.1
благополучно	adv	22.3
благополучный	a	21.9
благоприятный	a	33.2
благородный	a	38.0
блеск	s	26.9
блестящий	a	40.1
ближайший	a	153.9
ближний	a	39.8
близкие	s	31.5
близкий	a	210.4
близко	adv	36.5
близость	s	23.2
блок	s	101.9
блюдо	s	39.3
бог	s	274.9
богатство	s	47.7
богатый	a	108.1
боевик	s	59.8
боевой	a	197.3
боеприпас	s	21.3
боец	s	49.2
божественный	a	26.0
божий	a	62.2
бой	s	132.2
весенний	a	28.3
весна	s	108.0
вести	v	321.3
вестись	v	63.5
весть	s	25.7
весь	apro	4104.7
весьма	adv	222.1
ветвь	s	21.5
ветер	s	88.4
ветеран	s	54.2
ветка	s	21.6
вечер	s	336.5
вечерний	a	35.7
вечно	adv	30.4
вечный	a	81.3
вещество	s	48.8
вещь	s	245.5
взаимный	a	38.6
взаимодействие	s	48.0
взаимоотношения	s	45.0
взгляд	s	269.5
взглянуть	v	37.5
взнос	s	25.0
взрослый	a	47.6
взрослый	s	44.9
взрыв	s	63.9
взятка	s	31.3
взять	v	413.7
взяться	v	61.1
вид	s	550.2
видение	s	25.0
видеть	v	636.6
видеться	v	32.6
видимо	adv	157.8
видимость	s	24.6
видно	adv	102.1
видный	a	56.9
виза	s	25.1
визит	s	72.4
вина	s	57.4
вино	s	71.1
виноватый	a	53.1
виртуальный	a	22.1
висеть	v	54.6
витамин	s	26.9
вице-президент	s	30.4
вице-премьер	s	37.3
вклад	s	52.7
вкладывать	v	29.0
включать	v	67.5
включая	pr	70.0
включить	v	66.1
вкус	s	94.9
вкусный	a	24.5
владелец	s	97.0
владение	s	20.6
владеть	v	60.3
владыка	s	21.5
властный	a	25.0
власть	s	711.8
вплоть	adv	45.1
вполне	adv	289.3
впоследствии	adv	67.2
вправе	adv	25.2
впрочем	adv	278.2
враг	s	121.9
врач	s	182.8
вред	s	29.3
вредный	a	34.7
временной	a	53.2
время	s	2364.6
вроде	part	91.9
вроде	pr	77.7
вручить	v	31.6
вряд	adv	107.5
все	advpro	387.0
все	spro	2862.4
всевозможный	a	30.6
всегда	advpro	670.5
всего	part	231.3
вселенная	s	22.9
всемирный	a	41.4
всеобщий	a	51.6
всероссийский	a	31.1
всерьез	adv	45.3
все-таки	part	235.7
вскоре	adv	149.1
вслед	adv	46.4
вслух	adv	21.6
вспоминать	v	156.9
вспомнить	v	161.4
вставать	v	46.7
встать	v	98.4
встретить	v	117.3
встретиться	v	91.9
встреча	s	305.1
встречать	v	85.5
встречаться	v	113.3
вступать	v	45.4
вступить	v	62.9
вступление	s	38.8
всюду	advpro	26.0
всякий	apro	339.4
всячески	adv	21.5
вторник	s	32.1
второй	anum	626.3
в-третьих	adv	21.9
вуз	s	60.4
вход	s	58.1
входить	v	179.1
вчера	adv	112.2
вчерашний	a	30.3
вы	spro	2133.1
выбирать	v	74.7
выбор	s	148.4
выборы	s	243.4
выбрать	v	126.3
выбросить	v	26.2
вывезти	v	19.9
вывести	v	59.0
говорят	adv	60.1
год	s	5589.5
годиться	v	22.4
годовой	a	38.9
голова	s	376.9
головной	a	37.3
голод	s	38.4
голодный	a	29.4
голос	s	268.7
голосование	s	39.9
голосовать	v	37.3
голубой	a	51.7
голый	a	37.4
гонка	s	90.7
гонщик	s	34.9
гора	s	108.2
гораздо	adv	146.6
гордиться	v	39.9
гордость	s	43.1
гордый	a	21.3
горе	s	39.3
гореть	v	48.4
горизонт	s	26.0
горло	s	25.7
горный	a	55.7
город	s	738.5
городок	s	45.8
городской	a	177.2
горожанин	s	27.0
горький	a	31.4
горячий	a	92.3
госпиталь	s	38.1
господи	intj	22.3
господин	s	135.8
господь	s	33.4
гостиная	s	20.3
гостиница	s	95.5
гость	s	200.2
государственный	a	492.8
государство	s	528.3
государь	s	21.6
готовить	v	98.4
готовиться	v	96.9
готовность	s	56.3
готовый	a	287.5
градус	s	39.8
гражданин	s	271.7
гражданский	a	161.9
гражданство	s	25.4
грамм	s	21.0
грандиозный	a	29.4
граница	s	194.0
грань	s	34.7
граф	s	28.9
график	s	26.4
грех	s	51.8
греческий	a	21.4
гриб	s	29.8
гроб	s	36.0
грозить	v	42.4
диаметр	s	21.7
диван	s	32.1
дивизия	s	41.3
дизайн	s	36.2
дизайнер	s	28.4
дикий	a	53.4
дилер	s	35.9
динамика	s	27.3
диплом	s	35.5
дипломат	s	29.8
дипломатический	a	26.6
директор	s	343.1
дирижер	s	27.7
диск	s	36.1
дискуссия	s	54.2
диссертация	s	21.1
дистанция	s	28.5
дисциплина	s	36.2
дитя	s	25.6
длина	s	43.8
длинный	a	107.6
длительный	a	47.1
длиться	v	37.0
для	pr	3883.7
дневник	s	52.7
дно	s	58.5
до	pr	2255.6
добавить	v	109.8
добавлять	v	31.9
добиваться	v	41.0
добиться	v	101.9
добраться	v	41.2
добро	s	55.6
добровольный	a	21.8
добрый	a	164.2
добыть	v	20.3
добыча	s	53.3
доверие	s	52.7
доверять	v	36.9
довести	v	50.0
довестись	v	28.6
довод	s	20.8
довольно	adv	218.4
довольный	a	50.3
догадаться	v	32.4
догадываться	v	25.8
договор	s	167.0
договоренность	s	28.1
договориться	v	63.7
дождаться	v	28.4
дождь	s	59.9
дойти	v	80.4
доказательство	s	43.4
доказать	v	68.5
доказывать	v	39.7
доклад	s	89.3
доктор	s	119.0
документ	s	267.4
документальный	a	22.9
долг	s	129.2
железнодорожный	a	43.0
железный	a	87.8
желтый	a	46.2
жена	s	322.5
жениться	v	39.9
женский	a	96.1
женщина	s	434.4
жертва	s	103.1
жест	s	35.7
жесткий	a	96.3
жестко	adv	20.6
жестокий	a	44.7
живой	a	241.1
живопись	s	36.4
живот	s	30.3
животное	s	79.4
жизненный	a	67.7
жизнь	s	1548.4
жилец	s	25.7
жилищный	a	40.5
жилой	a	54.7
жилье	s	106.1
житель	s	154.2
жить	v	755.3
журнал	s	245.3
журналист	s	181.1
жуткий	a	23.3
жюри	s	27.3
за	pr	3991.4
забавный	a	28.8
забить	v	23.5
заболевание	s	47.9
заболеть	v	34.5
забор	s	28.4
забота	s	68.2
заботиться	v	31.3
забрать	v	35.1
забывать	v	72.9
забыть	v	172.2
заведение	s	53.0
заведовать	v	25.3
завершение	s	36.3
завершить	v	47.5
завершиться	v	32.5
завести	v	34.6
зависеть	v	133.1
зависимость	s	82.1
зависть	s	23.9
завод	s	272.3
заводской	a	22.1
завоевать	v	28.5
завтра	adv	93.5
завтрак	s	23.3
загадка	s	27.8
загадочный	a	33.6
заглянуть	v	29.7
заговор	s	20.9
заговорить	v	36.2
задавать	v	45.1
задание	s	47.4
звезда	s	140.2
звездный	a	23.0
звено	s	28.5
зверь	s	38.4
звонить	v	91.2
звонок	s	67.1
звук	s	85.9
звучать	v	109.1
здание	s	178.0
здесь	advpro	746.2
здорово	adv	25.9
здоровый	a	80.2
здоровье	s	120.8
здравоохранение	s	28.9
здравствовать	v	36.2
здравый	a	22.2
зеленый	a	97.5
зелень	s	22.5
земельный	a	45.1
земля	s	442.7
земной	a	48.0
зенитный	a	22.0
зеркало	s	50.1
зерно	s	39.2
зима	s	117.0
зимний	a	57.8
зло	s	54.5
злой	a	46.5
знак	s	105.4
знакомство	s	57.0
знакомый	a	118.3
знакомый	s	76.0
знаменитый	a	203.3
знамя	s	34.6
знание	s	122.9
знаток	s	21.2
знать	v	1270.0
значение	s	134.9
значимый	a	25.0
значит	adv	188.4
значительно	adv	86.8
значительный	a	136.0
значить	v	114.2
золото	s	56.4
золотой	a	134.1
зона	s	117.8
зрелище	s	29.6
зрение	s	168.4
зритель	s	169.8
зрительный	a	21.1
зря	adv	43.5
зуб	s	57.0
и	conj	35782.3
ибо	conj	134.9
игра	s	278.5
играть	v	451.6
игровой	a	19.9
игрок	s	77.9
игрушка	s	34.7
идеал	s	46.4
испанский	a	34.3
исполнение	s	101.3
исполнитель	s	59.2
исполнительный	a	56.9
исполнить	v	43.2
исполниться	v	27.5
исполнять	v	61.5
использование	s	142.8
использовать	v	270.4
использоваться	v	76.2
испортить	v	22.4
исправить	v	21.7
испугаться	v	24.7
испытание	s	86.2
испытать	v	39.6
испытывать	v	78.6
исследование	s	138.4
исследователь	s	32.9
истина	s	66.4
истинный	a	69.4
исток	s	20.2
историк	s	44.0
исторический	a	176.1
история	s	592.7
источник	s	141.6
истребитель	s	26.6
исход	s	32.7
исходить	v	71.6
исчезать	v	35.9
исчезнуть	v	75.7
итак	conj	68.0
итальянец	s	22.4
итальянский	a	66.5
итог	s	200.2
их	apro	1155.8
июль	s	129.2
июнь	s	133.5
к	pr	5396.0
кабина	s	25.4
кабинет	s	150.5
кавказский	a	24.9
кадр	s	97.7
кадровый	a	39.0
каждый	apro	952.9
кажется	adv	124.2
казак	s	29.8
казаться	v	413.5
казачий	a	20.6
казнь	s	25.4
как	advpro	2041.8
как	conj	4271.7
каков	apro	59.4
какой	apro	938.9
какой-либо	apro	79.7
какой-нибудь	apro	129.9
какой-то	apro	661.6
как-то	advpro	246.6
календарь	s	20.5
калужский	a	25.0
каменный	a	38.3
комплект	s	24.7
композитор	s	72.5
композиция	s	32.2
компонент	s	25.9
компромисс	s	29.0
компьютер	s	76.5
компьютерный	a	41.0
комсомол	s	21.2
комсомольский	a	33.6
конгресс	s	32.8
конец	s	710.8
конечно	adv	677.2
конечный	a	56.8
конкретно	adv	23.0
конкретный	a	137.2
конкурент	s	54.5
конкуренция	s	52.1
конкурировать	v	20.5
конкурс	s	131.8
консерватория	s	30.9
конституционный	a	39.5
конституция	s	70.6
конструктор	s	41.9
конструкция	s	68.7
консультант	s	20.8
