а	conj	20593.3
а	intj	70.6
аа	intj	11.3
а-а	intj	515.3
ааа	intj	20.2
а-а-а	intj	157.5
абзац	s	10.1
абонемент	s	11.3
абсолютно	adv	201.6
авария	s	18.9
август	s	39.1
автобус	s	109.6
автомат	s	32.8
автомобиль	s	10.1
автоответчик	s	10.1
автор	s	30.2
ага	intj	975.2
ага	part	65.5
агент	s	20.2
агентство	s	13.9
адвокат	s	26.5
адекватный	a	13.9
администратор	s	18.9
адрес	s	71.8
аж	part	50.4
ай	intj	29.0
айда	intj	16.4
академия	s	41.6
аккорд	s	21.4
аккумулятор	s	12.6
аккуратно	adv	23.9
акт	s	15.1
актер	s	80.6
актерский	a	10.1
активный	a	16.4
актриса	s	32.8
актуальный	a	11.3
алкоголь	s	21.4
алло	intj	147.4
альбом	s	27.7
американец	s	22.7
американский	a	26.5
анализ	s	41.6
ангел	s	11.3
английский	a	181.4
англичанин	s	10.1
анекдот	s	93.2
анчоус	s	10.1
апельсин	s	13.9
апостол	s	15.1
аппарат	s	15.1
аппетит	s	16.4
апрель	s	56.7
аптека	s	32.8
аренда	s	26.5
арестовать	v	15.1
арка	s	11.3
армия	s	46.6
армянский	a	11.3
артист	s	23.9
архитектор	s	11.3
архитектура	s	11.3
аспирантура	s	17.6
аспирин	s	11.3
ассортимент	s	16.4
ассоциироваться	v	10.1
аська	s	34.0
аудитория	s	39.1
ах	intj	109.6
аэропорт	s	18.9
б	part	278.4
баба	s	92.0
бабка	s	149.9
бабочка	s	11.3
бабулька	s	10.1
бабуля	s	42.8
бабушка	s	337.7
бабушкин	a	12.6
база	s	40.3
базар	s	47.9
бакс	s	22.7
балалайка	s	10.1
балет	s	29.0
балкон	s	58.0
баллон	s	10.1
банан	s	29.0
бандероль	s	11.3
бандит	s	18.9
банк	s	74.3
банка	s	66.8
баночка	s	26.5
баня	s	66.8
бар	s	26.5
барабан	s	11.3
барахло	s	11.3
бас	s	15.1
бассейн	s	71.8
батарейка	s	36.5
батарея	s	16.4
батон	s	40.3
батончик	s	17.6
бац	intj	11.3
